StationID,Lat,Long,StationName,Type,Elevation
XEG,53.3166,-113.5833,Edmonton Int'L Cs,PAW,723
XMM,56.6511,-111.2133,Fort McMurray CS,PAW,368.8
XSA,56.0761,-119.3449,Savanna Agcm,PAW,703
YAA,59.8959,-116.3472,Yates Auto,PAW,305
YQF,52.1822,-113.8944,Red Deer Regional A,PAW,904.6
YQL,49.6333,-112.8,Lethbridge,PAW,929
ZIL,54.821,-113.5436,Island Lake South,PAW,618.7
ZLH,54.7667,-112.0167,Lac La Biche Climate,PAW,597
ZPK,50.3666,-114.4167,Pekisko Cs,PAW,1341
ZSM,60.0261,-111.9294,Fort Smith Cs,PAW,203
